"arc_length","T"
113.75,673.452
114.1,673.454
114.45,673.457
114.8,673.459
115.15,673.461
115.5,673.464
115.85,673.466
116.2,673.469
116.55,673.471
116.9,673.474
117.25,673.476
117.6,673.483
117.95,673.502
118.3,673.52
118.65,673.539
119,673.558
119.35,673.576
119.7,673.595
120.05,673.613
120.4,673.632
120.75,673.651
121.1,673.669
121.45,673.688
121.8,673.706
122.15,673.725
122.5,673.744
122.85,673.762
123.2,673.781
123.55,673.799
123.9,673.818
124.25,673.836
124.6,673.855
124.95,673.874
125.3,673.892
125.65,673.911
126,673.929
126.35,673.948
126.7,673.967
127.05,673.985
127.4,674.004
127.75,674.022
128.1,674.041
128.45,674.06
128.8,674.078
129.15,674.097
129.5,674.115
129.85,674.134
130.2,674.153
130.55,674.171
130.9,674.19
131.25,674.208
131.6,674.227
131.95,674.246
132.3,674.264
132.65,674.283
133,674.301
133.35,674.32
133.7,674.338
134.05,674.357
134.4,674.376
134.75,674.394
135.1,674.413
135.45,674.431
135.8,674.45
136.15,674.469
136.5,674.487
136.85,674.506
137.2,674.524
137.55,674.543
137.9,674.562
138.25,674.58
138.6,674.599
138.95,674.617
139.3,674.636
139.65,674.655
140,674.673
140.35,674.692
140.7,674.71
141.05,674.729
141.4,674.748
141.75,674.766
142.1,674.785
142.45,674.803
142.8,674.822
143.15,674.84
143.5,674.859
143.85,674.878
144.2,674.896
144.55,674.915
144.9,674.933
145.25,675.094
145.6,675.31
145.95,675.527
146.3,675.744
146.65,675.961
147,676.178
147.35,676.394
147.7,676.611
148.05,676.828
148.4,677.045
148.75,677.262
149.1,677.478
149.45,677.695
149.8,677.912
150.15,678.141
150.5,678.388
150.85,678.634
151.2,678.88
151.55,679.126
151.9,679.372
152.25,679.618
152.6,679.865
152.95,680.111
153.3,680.357
153.65,680.603
154,680.849
154.35,681.095
154.7,681.342
155.05,681.594
155.4,681.881
155.75,682.169
156.1,682.457
156.45,682.744
156.8,683.032
157.15,683.32
157.5,683.607
157.85,683.895
158.2,684.182
158.55,684.47
158.9,684.758
159.25,685.05
159.6,685.345
159.95,685.64
160.3,685.934
160.65,686.229
161,686.524
161.35,686.818
161.7,687.113
162.05,687.408
162.4,687.702
162.75,687.997
163.1,688.297
163.45,688.612
163.8,688.926
164.15,689.24
164.5,689.554
164.85,689.869
165.2,690.183
165.55,690.497
165.9,690.812
166.25,691.126
166.6,691.44
166.95,691.755
167.3,692.079
167.65,692.404
168,692.73
168.35,693.056
168.7,693.381
169.05,693.707
169.4,694.033
169.75,694.359
170.1,694.684
170.45,695.01
170.8,695.336
171.15,695.663
171.5,695.992
171.85,696.321
172.2,696.65
172.55,696.979
172.9,697.308
173.25,697.638
173.6,697.967
173.95,698.296
174.3,698.625
174.65,698.954
175,699.283
175.35,699.607
175.7,699.93
176.05,700.253
176.4,700.577
176.75,700.9
177.1,701.224
177.45,701.547
177.8,701.871
178.15,702.194
178.5,702.518
178.85,702.841
179.2,703.157
179.55,703.467
179.9,703.778
180.25,704.088
180.6,704.398
180.95,704.709
181.3,705.019
181.65,705.329
182,705.64
182.35,705.95
182.7,706.26
183.05,706.567
183.4,706.856
183.75,707.144
184.1,707.432
184.45,707.72
184.8,708.008
185.15,708.296
185.5,708.584
185.85,708.872
186.2,709.16
186.55,709.448
186.9,709.736
187.25,710.005
187.6,710.267
187.95,710.528
188.3,710.789
188.65,711.05
189,711.311
189.35,711.573
189.7,711.834
190.05,712.095
190.4,712.356
190.75,712.617
191.1,712.878
191.45,713.136
191.8,713.394
192.15,713.652
192.5,713.91
192.85,714.168
193.2,714.426
193.55,714.684
193.9,714.942
194.25,715.2
194.6,715.458
194.95,715.716
195.3,715.927
195.65,716.13
196,716.333
196.35,716.536
196.7,716.739
197.05,716.942
197.4,717.146
197.75,717.349
198.1,717.552
198.45,717.755
198.8,717.958
199.15,718.161
199.5,718.364
199.85,718.567
200.2,718.729
200.55,718.861
200.9,718.992
201.25,719.124
201.6,719.255
201.95,719.387
202.3,719.518
202.65,719.65
203,719.781
203.35,719.913
203.7,720.045
204.05,720.176
204.4,720.308
204.75,720.439
205.1,720.542
205.45,720.571
205.8,720.601
206.15,720.631
206.5,720.66
206.85,720.69
207.2,720.72
207.55,720.749
207.9,720.779
208.25,720.809
208.6,720.838
208.95,720.868
209.3,720.897
209.65,720.927
210,720.957
210.35,720.986
210.7,721.016
211.05,721.042
211.4,721.042
211.75,721.042
212.1,721.042
212.45,721.042
212.8,721.042
213.15,721.042
213.5,721.042
213.85,721.042
214.2,721.042
214.55,721.042
214.9,721.042
215.25,721.042
215.6,721.042
215.95,721.042
216.3,721.042
216.65,721.042
217,721.042
217.35,721.042
217.7,721.042
218.05,721.042
218.4,721.042
218.75,721.042
219.1,721.042
219.45,721.042
219.8,721.042
220.15,721.042
220.5,721.042
220.85,721.042
221.2,721.042
221.55,721.042
221.9,721.042
222.25,721.042
222.6,721.042
222.95,721.042
223.3,721.042
223.65,721.042
224,721.042
224.35,721.042
224.7,721.042
225.05,721.042
225.4,721.042
225.75,721.042
226.1,721.042
226.45,721.042
226.8,721.042
227.15,721.042
227.5,721.042
227.85,721.042
228.2,721.042
228.55,721.042
228.9,721.042
229.25,721.042
229.6,721.042
229.95,721.042
230.3,721.042
230.65,721.042
231,721.042
231.35,721.042
231.7,721.042
232.05,721.042
232.4,721.042
232.75,721.042
233.1,721.042
233.45,721.042
233.8,721.042
234.15,721.042
234.5,721.042
234.85,721.042
235.2,721.042
235.55,721.042
235.9,721.041
236.25,721.041
236.6,721.041
236.95,721.041
237.3,721.041
237.65,721.041
238,721.041
238.35,721.041
238.7,721.041
239.05,721.041
239.4,721.041
239.75,721.041
240.1,721.041
240.45,721.041
240.8,721.041
241.15,721.041
241.5,721.041
241.85,721.041
242.2,721.041
242.55,721.041
242.9,721.041
243.25,721.041
243.6,721.041
243.95,721.041
244.3,721.041
244.65,721.041
245,721.04
245.35,721.04
245.7,721.04
246.05,721.04
246.4,721.04
246.75,721.04
247.1,721.04
247.45,721.04
247.8,721.04
248.15,721.04
248.5,721.04
248.85,721.039
249.2,721.039
249.55,721.039
249.9,721.039
250.25,721.039
250.6,721.039
250.95,721.039
251.3,721.039
251.65,721.039
252,721.039
252.35,721.039
252.7,721.038
253.05,721.038
253.4,721.038
253.75,721.038
254.1,721.038
254.45,721.038
254.8,721.038
255.15,721.038
255.5,721.038
255.85,721.038
256.2,721.038
256.55,721.037
256.9,721.037
257.25,721.037
257.6,721.037
257.95,721.037
258.3,721.037
258.65,721.037
259,721.037
259.35,721.037
259.7,721.037
260.05,721.037
260.4,721.036
260.75,721.036
261.1,721.036
261.45,721.036
261.8,721.036
262.15,721.036
262.5,721.035
262.85,721.035
263.2,721.035
263.55,721.034
263.9,721.034
264.25,721.033
264.6,721.033
264.95,721.033
265.3,721.032
265.65,721.032
266,721.031
266.35,721.031
266.7,721.031
267.05,721.03
267.4,721.03
267.75,721.029
268.1,721.029
268.45,721.029
268.8,721.028
269.15,721.028
269.5,721.027
269.85,721.027
270.2,721.027
270.55,721.026
270.9,721.026
271.25,721.025
271.6,721.025
271.95,721.025
272.3,721.024
272.65,721.024
273,721.023
273.35,721.023
273.7,721.022
274.05,721.022
274.4,721.022
274.75,721.021
275.1,721.021
275.45,721.02
275.8,721.02
276.15,721.02
276.5,721.019
276.85,721.019
277.2,721.018
277.55,721.018
277.9,721.018
278.25,721.017
278.6,721.017
278.95,721.016
279.3,721.016
279.65,721.016
280,721.015
280.35,721.015
280.7,721.014
281.05,721.014
281.4,721.014
281.75,721.013
282.1,721.013
282.45,721.011
282.8,721.01
283.15,721.009
283.5,721.008
283.85,721.007
284.2,721.006
284.55,721.004
284.9,721.003
285.25,721.002
285.6,721.001
285.95,721
286.3,720.999
286.65,720.997
287,720.996
287.35,720.995
287.7,720.994
288.05,720.993
288.4,720.992
288.75,720.99
289.1,720.989
289.45,720.988
289.8,720.987
290.15,720.986
290.5,720.984
290.85,720.983
291.2,720.982
291.55,720.981
291.9,720.98
292.25,720.979
292.6,720.977
292.95,720.976
293.3,720.975
293.65,720.974
294,720.973
294.35,720.972
294.7,720.97
295.05,720.969
295.4,720.968
295.75,720.967
296.1,720.966
296.45,720.965
296.8,720.963
297.15,720.962
297.5,720.961
297.85,720.96
298.2,720.959
298.55,720.958
298.9,720.956
299.25,720.955
299.6,720.954
299.95,720.953
300.3,720.952
300.65,720.951
301,720.949
301.35,720.948
301.7,720.947
302.05,720.946
302.4,720.945
302.75,720.944
303.1,720.942
303.45,720.941
303.8,720.94
304.15,720.939
304.5,720.938
304.85,720.936
305.2,720.935
305.55,720.934
305.9,720.933
306.25,720.932
306.6,720.931
306.95,720.929
307.3,720.928
307.65,720.927
308,720.926
308.35,720.925
308.7,720.924
309.05,720.922
309.4,720.921
309.75,720.92
310.1,720.919
310.45,720.916
310.8,720.914
311.15,720.912
311.5,720.91
311.85,720.908
312.2,720.906
312.55,720.903
312.9,720.901
313.25,720.899
313.6,720.897
313.95,720.895
314.3,720.893
314.65,720.891
315,720.888
315.35,720.886
315.7,720.884
316.05,720.882
316.4,720.88
316.75,720.878
317.1,720.875
317.45,720.873
317.8,720.871
318.15,720.869
318.5,720.867
318.85,720.865
319.2,720.862
319.55,720.86
319.9,720.858
320.25,720.856
320.6,720.854
320.95,720.852
321.3,720.849
321.65,720.847
322,720.845
322.35,720.843
322.7,720.841
323.05,720.839
323.4,720.836
323.75,720.834
324.1,720.832
324.45,720.83
324.8,720.828
325.15,720.826
325.5,720.823
325.85,720.821
326.2,720.819
326.55,720.817
326.9,720.815
327.25,720.813
327.6,720.81
327.95,720.808
328.3,720.806
328.65,720.804
329,720.802
329.35,720.8
329.7,720.797
330.05,720.795
330.4,720.793
330.75,720.791
331.1,720.789
331.45,720.787
331.8,720.784
332.15,720.782
332.5,720.78
332.85,720.778
333.2,720.776
333.55,720.774
333.9,720.771
334.25,720.769
334.6,720.767
334.95,720.765
335.3,720.763
335.65,720.761
336,720.758
336.35,720.756
336.7,720.754
337.05,720.752
337.4,720.75
337.75,720.748
338.1,720.743
338.45,720.734
338.8,720.724
339.15,720.715
339.5,720.706
339.85,720.696
340.2,720.687
340.55,720.677
340.9,720.668
341.25,720.658
341.6,720.649
341.95,720.64
342.3,720.63
342.65,720.621
343,720.611
343.35,720.602
343.7,720.593
344.05,720.584
344.4,720.58
344.75,720.576
345.1,720.573
345.45,720.569
345.8,720.565
346.15,720.561
346.5,720.558
346.85,720.554
347.2,720.55
347.55,720.546
347.9,720.542
348.25,720.539
348.6,720.535
348.95,720.531
349.3,720.527
349.65,720.524
350,720.52
